"","PC1","PC2","clade","species","cluster","gait","mass"
"61",0.048582572897368,-0.0973945003578483,"Dasyurid","Dasyurus maculatus","OppGrap","LS Walk",3.3
"62",0.027031569613275,-0.0663083665230685,"Dasyurid","Dasyurus maculatus","OppGrap","LS Walk",3.3
"63",0.00320993203968772,-0.162917056105714,"Dasyurid","Dasyurus maculatus","OppGrap","LS Walk",3.3
"64",-0.0123157934564133,-0.0876966652554615,"Dasyurid","Dasyurus maculatus","OppGrap","LS Walk",3.3
"65",-0.0834990302619726,0.0114098672183033,"Felid","Felis margarita","OppGrap","LS Walk",2.8
"66",-0.0417687105060974,0.015400086732404,"Felid","Leptailurus serval","OppGrap","LS Walk",12
"67",-0.0788248977466691,-0.0330099537271751,"Felid","Leptailurus serval","OppGrap","LS Walk",12
"68",0.0647216960228876,-0.0626149415525556,"Dasyurid","Sarcophilus harrisii","OppGrap","LS Walk",8
"69",0.00623937056973736,-0.0168600109026535,"Dasyurid","Dasyurus viverrinus","OppGrap","LS Walk",1.1
"70",0.115160262292961,0.0210567827631945,"Thylacine","Thylacinus cynocephalus","Thylacine","LS Walk",25
"71",0.0558300594869501,-0.0900613066615021,"Thylacine","Thylacinus cynocephalus","Thylacine","LS Walk",25
"72",0.0319049662023107,0.0365860433300062,"Canid","Vulpes ferrilata","OppPounce","LS Walk",5.5
"73",-0.0248988780285536,-0.052447797108604,"Felid","Panthera tigris","LrgGrapp","LS Walk",200
"74",0.021825726163094,0.103660527219667,"Canid","Canis lupus","SocHunt","Trot",50
